mesh_code
D017311
D005361
D044004
D011145
D000001
D017312
D005362
D044005
D011146
D000002
D005363
D017313
D011148
D044006
D000003
D005364
D017314
D011149
D044007
D000004
D005365
D017315
D011150
D044022
D005366
D000005
D017316
D011151
D044023
D017317
D000006
D005367
D011152
D044024
D000007
D017318
D005368
D011153
D044042
D000008
D017319
D005369
D011154
D044043
D017320
D000009
D005370
D044044
D011155
D000010
D017321
D005371
D044045
D011156
D017322
D000011
D044062
D005372
D017323
D000012
D044063
D011157
D005373
D017324
D000013
D044064
D011158
D017325
D005374
D000014
D044065
D017326
D005375
D011159
D044066
D000015
D017327
D005376
D011160
D044067
D000016
D017328
D005377
D044082
D017329
D011161
D000017
D005378
D017330
D011162
D000018
D044083
D005379
D017332
D011163
D044084
D000019
D005380
D017334
D011164
D044085
D000020
D017335
D011165
D005381
D044086
D000021
D017336
D011166
D044087
D005382
D017337
D000022
D044088
D011167
D005383
D017338
D000023
D044089
D011168
D005384
D017341
D000024
D044090
D005385
D017343
D011169
D000025
D044091
D005386
D017344
D011170
D044092
D000026
D005387
D017346
D011171
D044093
D000027
D005388
D017347
D011172
D044094
D053506
D031262
D010427
D006815
D014042
D018153
D003186
D000001
D053507
D031263
D010428
D014043
D006816
D003187
D018154
D000002
D053508
D010429
D031281
D014044
D006818
D003188
D000003
D018155
D053509
D010430
D031282
D014046
D006819
D000004
D018156
D003189
D053511
D010431
D031283
D014047
D018157
D006820
D000005
D003190
D053513
D010432
D014048
D031284
D006821
D000006
D018158
D053515
D003191
D014049
D031285
D010433
D000007
D006822
D018159
D053517
D003192
D014050
D031286
D010434
D000008
D006823
D053519
D018160
D003193
D014051
D031287
D010435
D006824
D053520
D000009
D018161
D014052
D003194
D010436
D031288
D053521
D000010
D018162
D006825
D003195
D014053
D031289
D010437
D000011
D053522
D006826
D003196
D018163
D014054
D031290
D010438
D000012
D053523
D018164
D006827
D031291
D003197
D014055
D010439
D053524
D000013
D018165
D006828
D031292
D003198
D053525
D000014
D014056
D010440
D018166
D006829
D031293
D053526
D010441
D000015
D003199
D014057
D006830
D031294
D018167
D053527
D000016
D010442
D003200
D014058
D006831
D018168
D031295
D000017
D053528
D010443
D014059
D006832
D003201
D018169
D031296
D053529
D000018
D014060
D010444
D003202
D006833
D018170
D053530
D031297
D014061
D000019
D003203
D010445
D006834
D018171
