src,dest,weight
D000006,D000005,1592
D000007,D000005,1080
D000028,D000020,1069
D000028,D000022,3927
D000028,D000024,1057
D000029,D000028,1210
D000032,D000028,1086
D000059,D000056,1089
D000062,D000059,1269
D000063,D000007,1365
D000063,D000056,1298
D000063,D000058,1426
D000063,D000059,2201
D000063,D000062,1002
D000068879,D000068800,1183
D000069285,D000068800,1738
D000069285,D000068879,1585
D000081,D000069349,2164
D000110,D000109,1904
D000123,D000107,1369
D000138,D000136,2261
D000200,D000109,2266
D000200,D000161,1901
D000203,D000058,1284
D000208,D000038,1285
D000222,D000064,1680
D000222,D000200,1047
D000223,D000203,4003
D000223,D000222,1445
D000225,D000068698,2339
D000236,D000172,1527
D000236,D000230,4232
D000241,D000227,1078
D000242,D000067956,1015
D000242,D000227,1261
D000242,D000241,1890
D000243,D000241,1057
D000244,D000227,1331
D000249,D000227,1049
D000249,D000241,1107
D000249,D000244,2854
D000251,D000135,1336
D000251,D000199,1349
D000251,D000244,1567
D000255,D000109,1070
D000255,D000199,2253
D000255,D000227,4541
D000255,D000241,2770
D000255,D000242,3145
D000255,D000244,10354
D000255,D000249,3802
D000255,D000251,7135
D000255,D000252,1440
D000255,D000254,1510
D000257,D000256,2129
D000260,D000258,1053
D000262,D000067956,1297
D000262,D000242,7803
D000262,D000255,1018
D000273,D000005,1554
D000273,D000242,1325
D000280,D000068298,1026
D000284,D000042,1420
D000284,D000208,2025
D000284,D000279,1706
D000284,D000280,1458
D000287,D000284,2314
D000293,D000005,3043
D000293,D000006,1172
D000293,D000007,3204
D000293,D000008,1161
D000293,D000013,2994
D000293,D000015,5390
D000293,D000017,1201
D000293,D000022,1732
D000293,D000028,4135
D000293,D000029,1348
D000293,D000038,3251
D000293,D000041,1802
D000293,D000046,1056
D000293,D000056,1197
D000293,D000058,1979
D000293,D000059,3608
D000293,D000061,1144
D000293,D000062,2088
D000293,D000063,10278
D000293,D000065,1211
D000293,D000069,1767
D000293,D000077,1711
D000293,D000082,1592
D000293,D000124,4471
D000293,D000152,3462
D000293,D000161,4692
D000293,D000163,7453
D000293,D000200,1869
D000293,D000203,6828
D000293,D000206,1432
D000293,D000208,30190
D000293,D000222,2943
D000293,D000223,17093
D000293,D000230,4673
D000293,D000233,1071
