src,dest,weight
D000768,D000368,7095
D000769,D000328,3918
D000771,D000328,4004
D000772,D000328,4591
D000772,D000368,3583
D000773,D000328,5031
D000773,D000767,3259
D000775,D000328,3940
D000776,D000758,13086
D000777,D000758,4826
D000779,D000328,8310
D000779,D000368,4971
D000779,D000772,3674
D000782,D000328,3166
D000783,D000328,5246
D000783,D000368,4349
D000784,D000328,5163
D000784,D000368,5149
D000786,D000328,3265
D000787,D000328,9875
D000787,D000368,11408
D000789,D000368,3996
D000792,D000293,5440
D000792,D000328,17392
D000792,D000368,13342
D000800,D000328,3648
D000800,D000368,5682
D000804,D000328,3405
D000804,D000450,3636
D000806,D000319,4076
D000806,D000328,4923
D000806,D000368,6571
D000818,D000001,7845
D000818,D000003,4373
D000818,D000005,4725
D000818,D000013,3407
D000818,D000014,7505
D000818,D000034,4204
D000818,D000042,12147
D000818,D000064,6372
D000818,D000081,3572
D000818,D000082,4323
D000818,D000085,14392
D000818,D000107,7952
D000818,D000109,38841
D000818,D000110,14506
D000818,D000111,5489
D000818,D000123,3766
D000818,D000135,12913
D000818,D000136,5446
D000818,D000138,5723
D000818,D000161,14135
D000818,D000163,3814
D000818,D000180,3332
D000818,D000199,32475
D000818,D000200,62619
D000818,D000208,24972
D000818,D000217,4220
D000818,D000220,4527
D000818,D000222,29361
D000818,D000225,5395
D000818,D000227,9302
D000818,D000229,4403
D000818,D000230,18274
D000818,D000236,4734
D000818,D000241,16667
D000818,D000242,49968
D000818,D000244,11873
D000818,D000249,4976
D000818,D000251,22581
D000818,D000252,8400
D000818,D000254,15682
D000818,D000255,57168
D000818,D000256,16562
D000818,D000262,16084
D000818,D000267,3361
D000818,D000273,34307
D000818,D000276,20997
D000818,D000279,5243
D000818,D000280,7611
D000818,D000281,5685
D000818,D000284,46807
D000818,D000287,9783
D000818,D000293,44627
D000818,D000302,7744
D000818,D000305,8643
D000818,D000311,25818
D000818,D000313,7305
D000818,D000315,11495
D000818,D000316,7350
D000818,D000317,8687
D000818,D000318,8270
D000818,D000319,10991
D000818,D000324,20302
D000818,D000327,9094
D000818,D000328,110170
D000818,D000330,11445
D000818,D000336,7173
D000818,D000344,13455
D000818,D000345,3931
D000818,D000348,3090
D000818,D000349,4616
D000818,D000367,56088
D000818,D000368,47653
D000818,D000369,11308
D000818,D000372,5793
D000818,D000374,9724
D000818,D000375,89610
D000818,D000383,8235
D000818,D000393,4836
D000818,D000403,3907
D000818,D000409,8559
D000818,D000410,11934
D000818,D000418,7950
D000818,D000428,6339
D000818,D000429,5414
D000818,D000431,36679
D000818,D000432,3661
D000818,D000437,6728
D000818,D000438,3501
D000818,D000447,6709
D000818,D000450,9210
D000818,D000465,25942
D000818,D000469,22748
D000818,D000470,10759
D000818,D000477,3203
D000818,D000478,3504
D000818,D000483,23569
D000818,D000485,13647
D000818,D000493,3131
D000818,D000494,4185
D000818,D000509,3308
D000818,D000531,4030
D000818,D000535,3933
D000818,D000539,3005
D000818,D000544,18300
D000818,D000577,7051
D000818,D000581,3437
D000818,D000584,5429
D000818,D000588,7345
D000818,D000594,3151
D000818,D000595,223618
D000818,D000596,56055
D000818,D000613,3567
D000818,D000626,3313
D000818,D000637,3912
D000818,D000641,8930
D000818,D000644,7720
D000818,D000661,8019
D000818,D000663,5090
D000818,D000679,12919
D000818,D000681,7230
D000818,D000682,4295
D000818,D000690,3779
D000818,D000693,4360
D000818,D000697,5968
D000818,D000698,4610
D000818,D000700,15068
D000818,D000701,8218
D000818,D000704,59751
D000818,D000707,6583
D000818,D000714,4877
D000818,D000728,9886
D000818,D000740,6537
D000818,D000758,12215
D000818,D000768,4402
D000818,D000769,3283
D000818,D000777,5871
D000818,D000779,6430
D000818,D000792,4094
D000818,D000804,25421
D000818,D000806,8519
D000818,D000814,5779
D000819,D000818,3474
D000820,D000818,5721
D000821,D000818,37233
D000822,D000818,16546
D000824,D000818,17894
D000824,D000821,8019
D000825,D000818,3610
D000827,D000818,10559
D000829,D000818,14443
D000830,D000818,10901
D000831,D000367,8406
D000831,D000375,10032
D000831,D000704,3375
D000831,D000818,104143
D000833,D000818,5440
D000835,D000818,12796
D000836,D000818,4314
D000838,D000818,4372
D000843,D000328,5701
D000852,D000818,9791
D000856,D000293,5764
D000856,D000328,6029
D000860,D000328,8246
D000860,D000368,3644
D000860,D000531,3490
D000860,D000818,31192
D000871,D000818,9149
D000882,D000818,45767
D000886,D000293,9441
D000886,D000328,14355
D000886,D000368,6612
D000888,D000818,6506
D000889,D000328,4110
D000889,D000368,5249
D000889,D000638,3478
D000889,D000818,7622
D000890,D000328,6620
D000890,D000368,3859
D000890,D000818,10501
D000893,D000287,5330
D000893,D000293,4997
D000893,D000328,13432
D000893,D000368,7378
D000893,D000818,22966
D000894,D000293,3691
D000894,D000328,11810
D000894,D000368,8890
D000894,D000818,18914
D000897,D000328,3706
D000897,D000818,3622
D000900,D000208,6690
D000900,D000284,4277
D000900,D000293,20735
D000900,D000328,42650
D000900,D000367,3032
D000900,D000368,28411
D000900,D000369,9851
D000900,D000595,4428
D000900,D000617,7086
D000900,D000658,3946
D000900,D000667,3564
D000900,D000818,46626
D000900,D000890,5888
D000903,D000328,3365
D000903,D000368,3044
D000903,D000818,8903
D000904,D000900,13068
D000906,D000293,5064
D000906,D000328,10686
D000906,D000368,5074
D000906,D000595,4747
D000906,D000818,47676
D000907,D000293,5836
D000907,D000328,10505
D000907,D000368,4598
D000907,D000818,21193
D000909,D000818,6043
D000911,D000068258,4058
D000911,D000069283,5446
D000911,D000069285,7538
D000911,D000293,5944
D000911,D000328,22904
D000911,D000368,16324
D000911,D000369,5005
D000911,D000595,11472
D000911,D000818,81136
D000912,D000818,3750
D000912,D000911,3017
D000913,D000818,11076
D000914,D000293,9630
D000914,D000328,15671
D000914,D000368,5468
D000914,D000818,32841
D000914,D000911,4279
D000915,D000818,3687
D000917,D000293,3292
D000917,D000328,6549
D000917,D000818,39475
D000917,D000906,5734
D000918,D000328,4618
D000918,D000595,4490
D000918,D000818,26337
D000918,D000906,5109
D000918,D000911,12377
D000920,D000818,3076
D000921,D000818,5986
D000924,D000818,3941
D000925,D000284,4102
D000925,D000328,12066
D000925,D000368,14981
D000925,D000369,5358
D000925,D000818,6343
D000927,D000293,7580
D000927,D000328,11708
D000927,D000368,4118
D000927,D000818,12760
D000928,D000293,3501
D000928,D000328,9701
D000928,D000368,5972
D000928,D000818,8437
D000935,D000293,3137
D000935,D000328,8213
D000935,D000368,4518
D000935,D000666,6473
D000935,D000818,7967
D000935,D000900,5429
D000936,D000328,3910
D000936,D000818,10784
D000937,D000818,14910
D000937,D000906,3915
D000937,D000917,3217
D000938,D000818,7902
D000939,D000328,3851
D000939,D000595,11488
D000939,D000818,35138
D000939,D000906,3386
D000939,D000911,15569
D000939,D000918,6304
D000941,D000328,5064
